patient_shape,patient_side_of_hit,horizontal_distance_condition_idx,move_direction,video_link
shape1,concave,0,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_eRJ99RkftY6XRe6
shape1,concave,3,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_dgSkffFnBjfZllQ
shape1,concave,5,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_3K29vBT3TUMva6y
shape1,concave,6,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1SKgmMeAmnsNAHQ
shape1,concave,7,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6QopG1dMRTMyrGu
shape1,concave,8,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_2i9J7DPQz9UEPGK
shape1,concave,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bwMf0zzS9nQhye2
shape1,convex,0,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_bPeJdwueNOGs7Sm
shape1,convex,3,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_3l6nymmysXtChXU
shape1,convex,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_8poydla63dbH8yO
shape1,convex,6,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1YTwKYhg30XhDLw
shape1,convex,7,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_9S3QcZQ4B7L3S86
shape1,convex,8,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_1HboMJ8FrLz5Sbs
shape1,convex,9,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_cOSD3ZhONLEaq8u
shape2,concave,0,,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_6G6yPoeuhJC0Uh8
shape2,concave,3,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_71bppLRL4TgdWRg
shape2,concave,5,flip,https://harvard.az1.qualtrics.com/WRQualtricsControlPanel/File.php?F=F_eCZyRAjwLkCWADQ
